Model,Language,Temp,Unique CWE,Vulnerable Prompts
multi-dataset_gpt-4o-mini,Chinese,0.4,21,40
multi-dataset_gpt-4o-mini,Turkish,0.4,22,45
multi-dataset_gpt-4o-mini,Estonian,0.4,22,38
multi-dataset_gpt-4o-mini,Finnish,0.4,21,41
multi-dataset_gpt-4o-mini,Hungarian,0.4,22,45
multi-dataset_gpt-4o-mini,English,0.4,22,51
multi-dataset_gpt-4o-mini,Acehnese,0.6,18,32
multi-dataset_gpt-4o-mini,Hebrew,0.6,23,44
multi-dataset_gpt-4o-mini,Vietnamese,0.6,22,45
multi-dataset_gpt-4o-mini,Indonesian,0.6,22,48
multi-dataset_gpt-4o-mini,Malayalam,0.6,20,34
multi-dataset_gpt-4o-mini,Tagalog,0.6,22,45
multi-dataset_gpt-4o-mini,Dutch,0.6,22,44
multi-dataset_gpt-4o-mini,German,0.6,22,44
multi-dataset_gpt-4o-mini,Afrikaans,0.6,22,42
multi-dataset_gpt-4o-mini,Portuguese,0.6,22,40
multi-dataset_gpt-4o-mini,Spanish,0.6,22,47
multi-dataset_gpt-4o-mini,French,0.6,22,45
multi-dataset_gpt-4o-mini,Italian,0.6,22,48
multi-dataset_gpt-4o-mini,Greek,0.6,22,44
multi-dataset_gpt-4o-mini,Western Persian,0.6,22,45
multi-dataset_gpt-4o-mini,Russian,0.6,22,39
multi-dataset_gpt-4o-mini,Bulgarian,0.6,22,43
multi-dataset_gpt-4o-mini,Chinese,0.6,21,41
multi-dataset_gpt-4o-mini,Turkish,0.6,22,45
multi-dataset_gpt-4o-mini,Estonian,0.6,22,38
multi-dataset_gpt-4o-mini,Finnish,0.6,21,41
multi-dataset_gpt-4o-mini,Hungarian,0.6,22,45
multi-dataset_gpt-4o-mini,English,0.6,22,51
multi-dataset_gemini-2.5-flash,Acehnese,0.4,18,33
multi-dataset_gemini-2.5-flash,Hebrew,0.4,21,42
multi-dataset_gemini-2.5-flash,Vietnamese,0.4,20,41
multi-dataset_gemini-2.5-flash,Indonesian,0.4,20,43
multi-dataset_gemini-2.5-flash,Malayalam,0.4,19,32
multi-dataset_gemini-2.5-flash,Tagalog,0.4,20,42
multi-dataset_gemini-2.5-flash,Dutch,0.4,21,41
multi-dataset_gemini-2.5-flash,German,0.4,21,43
multi-dataset_gemini-2.5-flash,Afrikaans,0.4,20,38
multi-dataset_gemini-2.5-flash,Portuguese,0.4,20,35
multi-dataset_gemini-2.5-flash,Spanish,0.4,20,42
multi-dataset_gemini-2.5-flash,French,0.4,20,41
multi-dataset_gemini-2.5-flash,Italian,0.4,19,42
multi-dataset_gemini-2.5-flash,Greek,0.4,21,41
multi-dataset_gemini-2.5-flash,Western Persian,0.4,20,42
multi-dataset_gemini-2.5-flash,Russian,0.4,20,39
multi-dataset_gemini-2.5-flash,Bulgarian,0.4,20,38
multi-dataset_gemini-2.5-flash,Chinese,0.4,19,36
multi-dataset_gemini-2.5-flash,Turkish,0.4,21,44
multi-dataset_gemini-2.5-flash,Estonian,0.4,21,39
multi-dataset_gemini-2.5-flash,Finnish,0.4,19,37
multi-dataset_gemini-2.5-flash,Hungarian,0.4,20,42
multi-dataset_gemini-2.5-flash,English,0.4,20,47
